BOOK TITLE                                                                          | SUBTITLE                                                                                                              | PAGES
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AI-Assisted Programming                                                             | Better Planning, Coding, Testing, and Deployment                                                                      | 225
C# 10 and .NET 6 – Modern Cross-Platform Development                                | N/A                                                                                                                   | 823
PostgreSQL                                                                          | Up and Running                                                                                                        | 396
Head First Python                                                                   | A Brain-Friendly Guide                                                                                                | 622
Learn Python 3 the Hard Way                                                         | A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code                                  | 318
Python for Data Science for Dummies                                                 | N/A                                                                                                                   | 432
Advanced Engineering Mathematics                                                    | N/A                                                                                                                   | 1244
Computer Age Statistical Inference                                                  | Algorithms, Evidence, and Data Science                                                                                | 475
Head First Statistics                                                               | A Brain-Friendly Guide                                                                                                | 716
How to Lie with Statistics                                                          | N/A                                                                                                                   | 144
Naked Statistics                                                                    | Stripping the Dread from the Data                                                                                     | 302
C# in Depth                                                                         | N/A                                                                                                                   | 528
Practical Statistics for Data Scientists                                            | 50+ Essential Concepts Using R and Python                                                                             | 342
Statistics                                                                          | N/A                                                                                                                   | 960
Statistics Done Wrong                                                               | The Woefully Complete Guide                                                                                           | 176
The Art of Statistics                                                               | How to Learn from Data                                                                                                | 448
Think Stats                                                                         | Exploratory Data Analysis                                                                                             | 226
Communicating with Data                                                             | The Art of Writing for Data Science                                                                                   | 264
Build a Career in Data Science                                                      | N/A                                                                                                                   | 360
Computational Statistics in Data Science                                            | N/A                                                                                                                   | 640
Learn C# in One Day and Learn It Well                                               | C# for Beginners with Hands-on Project                                                                                | 194
Data Pipelines Pocket Reference                                                     | Moving and Processing Data for Analytics                                                                              | 248
Data Science for Business                                                           | What You Need to Know about Data Mining and Data-Analytic Thinking                                                    | 414
Data Science from Scratch                                                           | First Principles with Python                                                                                          | 330
Data Science                                                                        | N/A                                                                                                                   | 576
Data Smart                                                                          | Using Data Science to Transform Information into Insight                                                              | 432
Deep Learning                                                                       | N/A                                                                                                                   | 800
Fundamentals of Data Engineering                                                    | Plan and Build Robust Data Systems                                                                                    | 414
Fundamentals of Pattern Recognition and Machine Learning                            | N/A                                                                                                                   | 459
Learning Spark                                                                      | Lightning-Fast Data Analytics                                                                                         | 394
Linear Algebra and Optimization for Machine Learning                                | A Textbook                                                                                                            | 507
Beautiful Code                                                                      | Leading Programmers Explain How They Think                                                                            | 620
Machine Learning Pocket Reference                                                   | Working with Structured Data in Python                                                                                | 252
Mastering PyTorch (Second Edition)                                                  | Build Powerful Deep Learning Architectures with Advanced Features of the Latest PyTorch Library                       | 516
Pattern Recognition and Machine Learning                                            | N/A                                                                                                                   | 738
PyTorch Pocket Reference                                                            | Building and Deploying Deep Learning Models                                                                           | 248
R for Data Science                                                                  | Import, Tidy, Transform, Visualize, and Model Data                                                                    | 521
Streamlit for Data Science                                                          | Create Interactive Data Apps in Python                                                                                | 306
TensorFlow 2 Pocket Reference                                                       | Building and Deploying Machine Learning Models                                                                        | 252
The Second Machine Age                                                              | Work, Progress, and Prosperity in a Time of Brilliant Technologies                                                    | 320
The Productive Programmer                                                           | N/A                                                                                                                   | 195
An Introduction to Statistical Learning                                             | with Applications in R                                                                                                | 607
Essentials of Modern Business Statistics with Microsoft Excel                       | N/A                                                                                                                   | 912
Mathematics for Machine Learning                                                    | N/A                                                                                                                   | 398
Regression Analysis with Python                                                     | N/A                                                                                                                   | 312
101 UX Principles                                                                   | N/A                                                                                                                   | 224
Statistics II for Dummies                                                           | N/A                                                                                                                   | 384
A Python Data Analyst's Toolkit                                                     | Learn Python and Python-based Libraries with Applications in Data Analysis and Statistics                             | 455
Advancing into Analytics                                                            | From Excel to Python and R                                                                                            | 258
Algorithmic Thinking                                                                | A Problem-Based Introduction                                                                                          | 408
Automate the Boring Stuff with Python                                               | Practical Programming for Total Beginners                                                                             | 504
Become a Python Data Analyst                                                        | Implement Python Packages and Techniques to Create Actionable Insights from Your Data                                 | 206
Beyond the Basic Stuff with Python                                                  | Best Practices for Writing Clean Code                                                                                  | 384
Color Appearance Models                                                             | N/A                                                                                                                   | 616
Clean Code in Python (Second Edition)                                               | Develop Maintainable and Efficient Code                                                                               | 422
CPython Internals                                                                   | Your Guide to the Python 3 Interpreter                                                                                | 372
Data Analytics with Spark Using Python                                              | N/A                                                                                                                   | 288
Data Engineering with Python                                                        | Build Data Pipelines, Automate Data Processing, and Develop Scalable Data Architectures                               | 474
Data Science Using Python and R                                                     | N/A                                                                                                                   | 272
Data Structures and Algorithms in Python                                            | N/A                                                                                                                   | 748
Deep Learning from Scratch                                                          | Building with Python from First Principles                                                                            | 246
Deep Learning with Python                                                           | N/A                                                                                                                   | 392
Color Design Workbook                                                               | A Real-World Guide to Using Color in Graphic Design                                                                   | 240
Deep Learning with PyTorch                                                          | Build, Train, and Tune Neural Networks Using Python Tools                                                             | 506
Dive Into Algorithms                                                                | A Pythonic Adventure for the Intrepid Beginner                                                                        | 248
Elements of Programming Interviews in Python                                        | The Insiders' Guide                                                                                                    | 420
Essential SQLAlchemy                                                                | Mapping Python to Databases                                                                                           | 236
FastAPI                                                                             | Modern Python Web Development                                                                                         | 288
Five Lines of Code                                                                  | How and When to Refactor                                                                                               | 272
Fluent Python                                                                       | Clear, Concise, and Effective Programming                                                                             | 1011
Foundations for Analytics with Python                                               | From Non-Programmer to Data Analyst                                                                                   | 276
Hadoop with Python                                                                  | N/A                                                                                                                   | 126
High Performance Python                                                             | Practical Performant Programming for Humans                                                                           | 464
How to Make Mistakes in Python                                                      | N/A                                                                                                                   | 112
Impractical Python Projects                                                         | Playful Programming Activities to Make You Smarter                                                                    | 424
Introducing Python                                                                  | Modern Computing in Simple Packages                                                                                   | 619
